0x187,45097,10,45107
0x188,45097,14,45111
0x189,45097,13,45110
0x18A,45097,14,45111
0x18B,45097,14,45111
0x18C,45097,14,45111
0x18D,45097,12,45109
0x18E,45097,14,45111
0x207,45097,10,45107
0x209,45097,13,45110
0x20B,45097,14,45111
0x20D,45097,12,45109
0x287,45097,10,45107
0x289,45097,13,45110
0x28B,45097,14,45111
0x28D,45097,12,45109
0x307,45097,10,45107
0x309,45097,13,45110
0x30B,45097,14,45111
0x30D,45097,12,45109
0x385,45096,15,45111
0x387,45097,10,45107
0x389,45097,13,45110
0x38B,45097,14,45111
0x38D,45097,12,45109
0x407,45097,10,45107
0x409,45097,13,45110
0x40B,45097,14,45111
0x40D,45097,12,45109
,,,
14,1307812,365,
